id,background_type,crest_vision_holder,O,C,E,A,N,DT,NFC,SM,status,ch_id,dorm,grade,mana_color,major,vocation,noble_house,race,origin
P-0517,common_noble,false,0.75,0.64,0.89,0.27,0.56,0.58,0.73,0.72,uninstantiated,,청탑 기숙사,1학년,청,방벽수호학파,마법사,,,
P-0518,common_noble,false,0.79,0.43,0.50,0.56,0.43,0.22,0.68,0.61,uninstantiated,,기사동,4학년,청,방패호위과,기사,,,
P-0519,signature_noble,true,0.47,0.88,0.56,0.13,0.45,0.54,0.43,0.32,uninstantiated,,비전관,1학년,자,지휘참모과,기사,ORG-ARC-HOU-005,,
P-0520,common_noble,false,0.89,0.62,0.66,0.53,0.54,0.57,0.56,0.29,uninstantiated,,기사동,1학년,적,기마·마수운용과,기사,,,
P-0521,common_noble,false,0.45,0.63,0.33,0.73,0.23,0.01,0.41,0.18,uninstantiated,,백탑 기숙사,3학년,백,순백응급학파,마법사,,,
P-0522,common_noble,false,0.75,0.16,0.55,0.31,0.42,0.39,0.54,0.50,uninstantiated,,신전동군,4학년,청,Calision 신전과,사제,,,
P-0523,common_noble,false,0.49,0.74,0.71,0.99,0.27,0.26,0.44,0.62,uninstantiated,,신전동군,1학년,자,Valerion 신전과,사제,,,
P-0524,commoner,false,0.16,0.64,0.34,0.71,0.57,0.20,0.35,0.01,uninstantiated,,녹탑 기숙사,2학년,녹,약리전술학파,마법사,,,
P-0525,common_noble,false,0.49,0.44,0.74,0.41,0.80,0.73,0.46,0.37,uninstantiated,,기사동,3학년,청,방패호위과,기사,,,
P-0526,common_noble,false,0.99,0.67,0.31,0.66,0.42,0.10,0.71,0.62,uninstantiated,,기사동,연구과정,청,공성·공병과,기사,,,
P-0527,common_noble,false,0.96,0.44,0.52,0.60,0.18,0.46,0.81,0.52,uninstantiated,,신전동군,4학년,청,Calision 신전과,사제,,,
P-0528,foreigner,false,0.79,0.52,0.43,0.46,0.69,0.40,0.50,0.56,uninstantiated,,녹탑 기숙사,4학년,녹,약리전술학파,마법사,,,SAH-울카자르권
P-0529,common_noble,false,0.74,0.52,0.42,0.40,0.45,0.40,0.52,0.47,uninstantiated,,기사동,연구과정,적,기동타격과,기사,,,
P-0530,common_noble,false,0.64,0.55,0.69,0.62,0.68,0.59,0.37,0.30,uninstantiated,,자탑 기숙사,1학년,자,심상환영학파,마법사,,,
P-0531,foreigner,false,0.35,0.85,0.43,0.59,0.62,0.18,0.58,0.23,uninstantiated,,기사동,1학년,청,검창전술과,기사,,,ARC-인접왕국권
P-0532,signature_noble,true,0.82,0.84,0.31,0.20,0.47,0.19,0.57,0.27,uninstantiated,,비전관,2학년,백,순백응급학파,마법사,ORG-ARC-HOU-007,,
P-0533,common_noble,false,0.39,0.89,0.34,0.70,0.35,0.03,0.57,0.17,uninstantiated,,기사동,2학년,녹,중장돌격과,기사,,,
P-0534,common_noble,false,0.40,0.64,0.61,0.52,0.59,0.42,0.41,0.24,uninstantiated,,백탑 기숙사,연구과정,백,순백응급학파,마법사,,,
P-0535,common_noble,false,0.60,0.44,0.51,0.44,0.82,0.23,0.27,0.55,uninstantiated,,기사동,연구과정,청,대마전투과,기사,,,
P-0536,signature_noble,true,0.70,0.22,0.57,0.30,0.55,0.64,0.34,0.30,uninstantiated,,비전관,연구과정,황,관성조율학파,마법사,ORG-ARC-HOU-009,,
P-0537,common_noble,false,0.32,0.75,0.30,0.58,0.42,0.12,0.60,0.42,uninstantiated,,청탑 기숙사,1학년,청,공간쇄정학파,마법사,,,
P-0538,common_noble,false,0.62,0.78,0.55,0.56,0.44,0.41,0.61,0.35,uninstantiated,,기사동,2학년,청,대마전투과,기사,,,
P-0539,commoner,false,0.61,0.45,0.61,0.31,0.45,0.10,0.34,0.44,uninstantiated,,신전동군,2학년,녹,Valerion 신전과,사제,,,
P-0540,signature_noble,true,0.74,0.50,0.50,0.32,0.32,0.27,0.60,0.52,uninstantiated,,비전관,2학년,적,폭연연성학파,마법사,ORG-ARC-HOU-024,,
P-0541,commoner,false,0.60,0.42,0.71,0.43,0.32,0.15,0.47,0.44,uninstantiated,,신전동군,4학년,황,Valerion 신전과,사제,,,
P-0542,common_noble,false,0.85,0.49,0.02,0.68,0.64,0.09,0.99,0.30,uninstantiated,,황탑 기숙사,2학년,황,관성조율학파,마법사,,,
P-0543,commoner,false,0.50,0.49,0.68,0.38,0.53,0.48,0.46,0.15,uninstantiated,,기사동,3학년,청,방패호위과,기사,,,
P-0544,common_noble,false,0.82,0.68,0.57,0.40,0.51,0.32,0.58,0.49,uninstantiated,,기사동,2학년,녹,검창전술과,기사,,,
P-0545,signature_noble,true,0.65,0.35,0.45,0.95,0.36,0.12,0.68,0.13,uninstantiated,,비전관,2학년,청,방벽수호학파,마법사,ORG-ARC-HOU-005,,
P-0546,common_noble,false,0.53,0.82,0.26,0.68,0.45,0.10,0.31,0.25,uninstantiated,,기사동,4학년,녹,기마·마수운용과,기사,,,
P-0547,common_noble,false,0.73,0.94,0.64,0.47,0.29,0.24,0.73,0.59,uninstantiated,,백탑 기숙사,2학년,백,순백응급학파,마법사,,,
P-0548,signature_noble,true,0.43,0.48,0.39,0.57,0.53,0.17,0.64,0.41,uninstantiated,,비전관,3학년,청,방벽수호학파,마법사,ORG-ARC-HOU-017,,
P-0549,common_noble,false,0.59,0.57,0.41,0.55,0.33,0.36,0.50,0.21,uninstantiated,,백탑 기숙사,2학년,백,역서명파쇄학파,마법사,,,
P-0550,common_noble,false,0.67,0.53,0.04,0.51,0.61,0.38,0.25,0.02,uninstantiated,,녹탑 기숙사,2학년,녹,균사전장학파,마법사,,,
P-0551,nonhuman,false,0.59,0.49,0.42,0.39,0.66,0.48,0.38,0.22,uninstantiated,,흑탑 기숙사,3학년,흑,침식주술학파,마법사,,하플링,
P-0552,common_noble,false,0.64,0.37,0.57,0.71,0.25,0.34,0.69,0.55,uninstantiated,,적탑 기숙사,1학년,적,화염포격학파,마법사,,,
P-0553,common_noble,false,0.77,0.61,0.49,0.81,0.18,0.15,0.71,0.22,uninstantiated,,신전동군,1학년,청,Silvaria 신전과,사제,,,
P-0554,common_noble,false,0.57,0.72,0.58,0.64,0.26,0.49,0.47,0.47,uninstantiated,,흑탑 기숙사,2학년,흑,흑영잠행학파,마법사,,,
P-0555,commoner,false,0.99,0.78,0.36,0.61,0.28,0.12,0.69,0.47,uninstantiated,,적탑 기숙사,1학년,적,화염포격학파,마법사,,,
P-0556,common_noble,false,0.58,0.95,0.71,0.80,0.35,0.05,0.59,0.46,uninstantiated,,기사동,연구과정,적,궁노사격과,기사,,,
P-0557,common_noble,false,0.59,0.88,0.29,0.40,0.51,0.13,0.62,0.33,uninstantiated,,신전동군,2학년,자,Enosian 신전과,사제,,,
P-0558,common_noble,false,0.67,0.58,0.49,0.37,0.67,0.26,0.67,0.38,uninstantiated,,기사동,1학년,청,병참·군정과,기사,,,
P-0559,commoner,false,0.32,0.72,0.41,0.66,0.74,0.08,0.51,0.18,uninstantiated,,황탑 기숙사,3학년,황,관성조율학파,마법사,,,
P-0560,common_noble,false,0.51,0.75,0.74,0.77,0.66,0.11,0.57,0.18,uninstantiated,,백탑 기숙사,4학년,백,광휘정화학파,마법사,,,
P-0561,common_noble,false,0.61,0.68,0.42,0.77,0.37,0.13,0.40,0.42,uninstantiated,,녹탑 기숙사,2학년,녹,정령계약학파,마법사,,,
P-0562,common_noble,false,0.62,0.77,0.50,0.97,0.50,0.12,0.42,0.28,uninstantiated,,기사동,3학년,청,병참·군정과,기사,,,
P-0563,common_noble,false,0.82,0.74,0.42,0.69,0.37,0.15,0.75,0.34,uninstantiated,,청탑 기숙사,4학년,청,결속조형학파,마법사,,,
P-0564,common_noble,false,0.65,0.56,0.22,0.95,0.33,0.01,0.38,0.43,uninstantiated,,녹탑 기숙사,2학년,녹,약리전술학파,마법사,,,
P-0565,common_noble,false,0.82,0.56,0.88,0.75,0.27,0.37,0.64,0.86,uninstantiated,,기사동,4학년,자,궁노사격과,기사,,,
P-0566,common_noble,false,0.71,0.58,0.36,0.58,0.57,0.39,0.58,0.33,uninstantiated,,청탑 기숙사,4학년,청,방벽수호학파,마법사,,,
P-0567,nonhuman,false,0.51,0.68,0.25,0.82,0.44,0.08,0.36,0.38,uninstantiated,,기사동,3학년,백,검창전술과,기사,,고블린,
P-0568,common_noble,false,0.51,0.59,0.21,0.68,0.56,0.12,0.31,0.05,uninstantiated,,기사동,3학년,청,방패호위과,기사,,,
P-0569,common_noble,false,0.47,0.58,0.52,0.40,0.88,0.54,0.36,0.32,uninstantiated,,황탑 기숙사,3학년,황,관성조율학파,마법사,,,
P-0570,common_noble,false,0.65,0.52,0.76,0.90,0.59,0.26,0.59,0.53,uninstantiated,,자탑 기숙사,3학년,자,전심학파,마법사,,,
P-0571,nonhuman,false,0.93,0.59,0.86,0.47,0.67,0.20,0.79,0.73,uninstantiated,,기사동,4학년,황,공성·공병과,기사,,고블린,
P-0572,common_noble,false,0.67,0.42,0.44,0.52,0.77,0.40,0.52,0.26,uninstantiated,,백탑 기숙사,3학년,백,순백응급학파,마법사,,,
P-0573,common_noble,false,0.64,0.44,0.69,0.65,0.64,0.41,0.48,0.44,uninstantiated,,황탑 기숙사,2학년,황,전자유도학파,마법사,,,
P-0574,common_noble,false,0.65,0.58,0.58,0.71,0.21,0.05,0.49,0.66,uninstantiated,,신전동군,3학년,황,Valerion 신전과,사제,,,
P-0575,common_noble,false,0.66,0.56,0.62,0.41,0.89,0.50,0.32,0.34,uninstantiated,,적탑 기숙사,3학년,적,연기전술학파,마법사,,,
P-0576,signature_noble,true,0.52,0.38,0.33,0.54,0.16,0.05,0.38,0.24,uninstantiated,,비전관,3학년,백,기동타격과,기사,ORG-ARC-HOU-015,,
P-0577,common_noble,false,0.42,0.78,0.65,0.63,0.36,0.42,0.57,0.81,uninstantiated,,신전동군,4학년,청,Silvaria 신전과,사제,,,
P-0578,common_noble,false,0.52,0.63,0.55,0.61,0.66,0.50,0.50,0.21,uninstantiated,,황탑 기숙사,4학년,황,관성조율학파,마법사,,,
P-0579,commoner,false,0.53,0.62,0.62,0.54,0.52,0.29,0.22,0.41,uninstantiated,,기사동,1학년,청,방패호위과,기사,,,
P-0580,common_noble,false,0.50,0.79,0.39,0.58,0.55,0.28,0.41,0.35,uninstantiated,,백탑 기숙사,3학년,백,순백응급학파,마법사,,,
P-0581,commoner,false,0.62,0.42,0.67,0.58,0.55,0.02,0.62,0.52,uninstantiated,,청탑 기숙사,2학년,청,방벽수호학파,마법사,,,
P-0582,common_noble,false,0.92,0.42,0.53,0.63,0.31,0.10,0.65,0.49,uninstantiated,,흑탑 기숙사,1학년,흑,흑영잠행학파,마법사,,,
P-0583,common_noble,false,0.61,0.55,0.41,0.71,0.53,0.19,0.32,0.34,uninstantiated,,적탑 기숙사,4학년,적,폭연연성학파,마법사,,,
P-0584,common_noble,false,0.58,0.90,0.23,0.58,0.63,0.02,0.86,0.18,uninstantiated,,녹탑 기숙사,3학년,녹,약리전술학파,마법사,,,
P-0585,common_noble,false,0.48,0.74,0.59,0.41,0.11,0.36,0.55,0.30,uninstantiated,,기사동,4학년,자,지휘참모과,기사,,,
P-0586,common_noble,false,0.58,0.76,0.47,0.49,0.56,0.59,0.58,0.64,uninstantiated,,적탑 기숙사,1학년,적,화염포격학파,마법사,,,
P-0587,common_noble,false,0.84,0.60,0.49,0.67,0.91,0.15,0.61,0.32,uninstantiated,,청탑 기숙사,1학년,청,방벽수호학파,마법사,,,
P-0588,common_noble,false,0.67,0.46,0.99,0.79,0.47,0.19,0.49,0.74,uninstantiated,,기사동,2학년,청,대마전투과,기사,,,
P-0589,common_noble,false,0.67,0.57,0.62,0.65,0.60,0.34,0.44,0.40,uninstantiated,,청탑 기숙사,3학년,청,방벽수호학파,마법사,,,
P-0590,common_noble,false,0.40,0.54,0.64,0.60,0.38,0.55,0.70,0.40,uninstantiated,,녹탑 기숙사,4학년,녹,약리전술학파,마법사,,,
P-0591,commoner,false,0.69,0.50,0.60,0.65,0.19,0.05,0.71,0.47,uninstantiated,,자탑 기숙사,3학년,자,전심학파,마법사,,,
P-0592,common_noble,false,0.87,0.61,0.99,0.70,0.55,0.35,0.77,0.43,uninstantiated,,기사동,1학년,녹,기마·마수운용과,기사,,,
P-0593,common_noble,false,0.75,0.70,0.38,0.73,0.45,0.43,0.70,0.36,uninstantiated,,흑탑 기숙사,1학년,흑,흑영잠행학파,마법사,,,
P-0594,common_noble,false,0.75,0.25,0.55,0.73,0.65,0.11,0.33,0.40,uninstantiated,,적탑 기숙사,2학년,적,화염포격학파,마법사,,,
P-0595,common_noble,false,0.53,0.64,0.59,0.53,0.46,0.11,0.66,0.59,uninstantiated,,적탑 기숙사,1학년,적,화염포격학파,마법사,,,
P-0596,common_noble,false,0.87,0.54,0.44,0.62,0.34,0.17,0.54,0.29,uninstantiated,,기사동,3학년,녹,병참·군정과,기사,,,
P-0597,common_noble,false,0.68,0.66,0.64,0.37,0.64,0.33,0.58,0.33,uninstantiated,,황탑 기숙사,1학년,황,관성조율학파,마법사,,,
P-0598,common_noble,false,0.78,0.68,0.73,0.67,0.47,0.37,0.43,0.40,uninstantiated,,청탑 기숙사,4학년,청,방벽수호학파,마법사,,,
P-0599,common_noble,false,0.34,0.71,0.33,0.40,0.58,0.37,0.13,0.44,uninstantiated,,백탑 기숙사,2학년,백,역서명파쇄학파,마법사,,,
P-0600,signature_noble,true,0.65,0.63,0.32,0.61,0.39,0.01,0.59,0.22,uninstantiated,,비전관,3학년,청,방패호위과,기사,ORG-ARC-HOU-004,,
P-0601,common_noble,false,0.99,0.56,0.36,0.49,0.69,0.41,0.54,0.43,uninstantiated,,녹탑 기숙사,3학년,녹,약리전술학파,마법사,,,
P-0602,commoner,false,0.48,0.60,0.58,0.74,0.39,0.13,0.23,0.59,uninstantiated,,기사동,2학년,황,검창전술과,기사,,,
P-0603,common_noble,false,0.76,0.71,0.67,0.46,0.40,0.50,0.71,0.47,uninstantiated,,신전동군,2학년,청,Lusenia 신전과,사제,,,
P-0604,commoner,false,0.79,0.76,0.38,0.72,0.34,0.02,0.95,0.21,uninstantiated,,녹탑 기숙사,2학년,녹,약리전술학파,마법사,,,
P-0605,commoner,false,0.50,0.58,0.48,0.28,0.26,0.28,0.66,0.20,uninstantiated,,기사동,4학년,황,공성·공병과,기사,,,
P-0606,signature_noble,true,0.74,0.58,0.39,0.85,0.58,0.25,0.53,0.50,uninstantiated,,비전관,4학년,녹,기마·마수운용과,기사,ORG-ARC-HOU-019,,
P-0607,commoner,false,0.66,0.44,0.51,0.37,0.27,0.49,0.52,0.27,uninstantiated,,신전동군,3학년,녹,Silvaria 신전과,사제,,,
P-0608,common_noble,false,0.42,0.79,0.60,0.41,0.61,0.42,0.58,0.40,uninstantiated,,청탑 기숙사,1학년,청,결속조형학파,마법사,,,
P-0609,common_noble,false,0.74,0.87,0.56,0.54,0.78,0.03,0.76,0.36,uninstantiated,,적탑 기숙사,2학년,적,연기전술학파,마법사,,,
P-0610,nonhuman,false,0.37,0.81,0.58,0.45,0.45,0.37,0.43,0.42,uninstantiated,,청탑 기숙사,1학년,청,결속조형학파,마법사,,하플링,
P-0611,commoner,false,0.90,0.71,0.09,0.70,0.78,0.02,0.63,0.28,uninstantiated,,황탑 기숙사,2학년,황,관성조율학파,마법사,,,
P-0612,common_noble,false,0.90,0.49,0.84,0.71,0.61,0.37,0.66,0.45,uninstantiated,,신전동군,3학년,백,Vesperian 신전과,사제,,,
P-0613,nonhuman,false,0.54,0.51,0.15,0.56,0.84,0.12,0.45,0.03,uninstantiated,,적탑 기숙사,1학년,적,화염포격학파,마법사,,고블린,
P-0614,common_noble,false,0.31,0.50,0.20,0.69,0.03,0.20,0.39,0.44,uninstantiated,,녹탑 기숙사,3학년,녹,약리전술학파,마법사,,,
P-0615,common_noble,false,0.49,0.62,0.51,0.56,0.24,0.12,0.49,0.34,uninstantiated,,자탑 기숙사,3학년,자,전심학파,마법사,,,
P-0616,common_noble,false,0.39,0.55,0.53,0.58,0.65,0.16,0.55,0.01,uninstantiated,,자탑 기숙사,2학년,자,몽유침잠학파,마법사,,,
P-0617,commoner,false,0.57,0.77,0.30,0.63,0.88,0.37,0.64,0.30,uninstantiated,,자탑 기숙사,4학년,자,전심학파,마법사,,,
P-0618,common_noble,false,0.50,0.40,0.54,0.99,0.62,0.24,0.47,0.29,uninstantiated,,기사동,2학년,황,기동타격과,기사,,,
P-0619,nonhuman,false,0.45,0.57,0.38,0.47,0.57,0.25,0.63,0.36,uninstantiated,,적탑 기숙사,3학년,적,화염포격학파,마법사,,아쿠아틱,
P-0620,signature_noble,true,0.88,0.75,0.45,0.52,0.56,0.48,0.63,0.58,uninstantiated,,비전관,1학년,백,광휘정화학파,마법사,ORG-ARC-HOU-015,,
P-0621,commoner,false,0.44,0.54,0.30,0.64,0.59,0.20,0.60,0.28,uninstantiated,,녹탑 기숙사,4학년,녹,균사전장학파,마법사,,,
P-0622,signature_noble,true,0.49,0.53,0.59,0.56,0.28,0.29,0.54,0.61,uninstantiated,,비전관,1학년,백,순백응급학파,마법사,ORG-ARC-HOU-014,,
P-0623,common_noble,false,0.88,0.52,0.26,0.86,0.49,0.18,0.99,0.40,uninstantiated,,기사동,1학년,백,기동타격과,기사,,,
P-0624,common_noble,false,0.84,0.52,0.65,0.89,0.54,0.11,0.46,0.75,uninstantiated,,청탑 기숙사,2학년,청,방벽수호학파,마법사,,,
P-0625,common_noble,false,0.65,0.74,0.19,0.36,0.48,0.35,0.47,0.08,uninstantiated,,적탑 기숙사,2학년,적,화염포격학파,마법사,,,
P-0626,common_noble,false,0.69,0.58,0.46,0.38,0.52,0.29,0.58,0.37,uninstantiated,,자탑 기숙사,1학년,자,전심학파,마법사,,,
P-0627,foreigner,false,0.75,0.50,0.19,0.31,0.30,0.27,0.60,0.41,uninstantiated,,적탑 기숙사,3학년,적,폭연연성학파,마법사,,,출신불명
P-0628,signature_noble,true,0.57,0.85,0.46,0.64,0.25,0.33,0.87,0.38,uninstantiated,,비전관,4학년,청,대마전투과,기사,ORG-ARC-HOU-024,,
P-0629,nonhuman,false,0.72,0.21,0.58,0.75,0.70,0.23,0.34,0.63,uninstantiated,,기사동,1학년,적,대마전투과,기사,,고블린,
P-0630,common_noble,false,0.77,0.80,0.41,0.58,0.22,0.01,0.81,0.36,uninstantiated,,적탑 기숙사,2학년,적,화염포격학파,마법사,,,
P-0631,common_noble,false,0.57,0.69,0.95,0.60,0.23,0.51,0.74,0.92,uninstantiated,,청탑 기숙사,3학년,청,방벽수호학파,마법사,,,
P-0632,signature_noble,true,0.48,0.78,0.54,0.64,0.06,0.51,0.68,0.77,uninstantiated,,비전관,1학년,황,관성조율학파,마법사,ORG-ARC-HOU-003,,
P-0633,common_noble,false,0.51,0.57,0.49,0.62,0.34,0.19,0.36,0.46,uninstantiated,,자탑 기숙사,3학년,자,전심학파,마법사,,,
P-0634,common_noble,false,0.36,0.38,0.67,0.60,0.57,0.11,0.51,0.52,uninstantiated,,자탑 기숙사,4학년,자,전심학파,마법사,,,
P-0635,nonhuman,false,0.68,0.72,0.47,0.38,0.32,0.24,0.76,0.57,uninstantiated,,황탑 기숙사,4학년,황,관성조율학파,마법사,,비스트킨,
P-0636,common_noble,false,0.53,0.38,0.42,0.36,0.31,0.35,0.50,0.22,uninstantiated,,신전동군,4학년,황,Calision 신전과,사제,,,
P-0637,commoner,false,0.73,0.99,0.31,0.44,0.49,0.16,0.71,0.09,uninstantiated,,신전동군,3학년,녹,Vesperian 신전과,사제,,,
P-0638,signature_noble,true,0.52,0.42,0.60,0.59,0.27,0.14,0.49,0.67,uninstantiated,,비전관,2학년,적,화염포격학파,마법사,ORG-ARC-HOU-011,,
P-0639,common_noble,false,0.75,0.53,0.44,0.44,0.69,0.48,0.51,0.38,uninstantiated,,백탑 기숙사,1학년,백,순백응급학파,마법사,,,
P-0640,common_noble,false,0.68,0.40,0.29,0.82,0.84,0.36,0.51,0.26,uninstantiated,,황탑 기숙사,2학년,황,관성조율학파,마법사,,,
P-0641,commoner,false,0.52,0.55,0.33,0.69,0.51,0.01,0.46,0.32,uninstantiated,,자탑 기숙사,2학년,자,전심학파,마법사,,,
P-0642,signature_noble,true,0.71,0.59,0.15,0.40,0.46,0.40,0.43,0.01,uninstantiated,,비전관,연구과정,백,순백응급학파,마법사,ORG-ARC-HOU-016,,
P-0643,signature_noble,true,0.29,0.63,0.73,0.54,0.82,0.72,0.20,0.34,uninstantiated,,비전관,4학년,녹,중장돌격과,기사,ORG-ARC-HOU-005,,
P-0644,common_noble,false,0.73,0.47,0.62,0.67,0.71,0.37,0.41,0.34,uninstantiated,,기사동,1학년,황,공성·공병과,기사,,,
P-0645,common_noble,false,0.83,0.49,0.39,0.65,0.43,0.20,0.62,0.55,uninstantiated,,기사동,4학년,백,지휘참모과,기사,,,
P-0646,common_noble,false,0.93,0.57,0.41,0.65,0.50,0.21,0.65,0.56,uninstantiated,,청탑 기숙사,4학년,청,구속연쇄학파,마법사,,,
P-0647,signature_noble,true,0.70,0.32,0.43,0.69,0.31,0.36,0.53,0.54,uninstantiated,,비전관,4학년,자,전심학파,마법사,ORG-ARC-HOU-023,,
P-0648,signature_noble,true,0.72,0.66,0.45,0.58,0.47,0.01,0.65,0.45,uninstantiated,,비전관,3학년,녹,균사전장학파,마법사,ORG-ARC-HOU-003,,
P-0649,signature_noble,true,0.48,0.60,0.51,0.55,0.55,0.34,0.36,0.15,uninstantiated,,비전관,3학년,적,기동타격과,기사,ORG-ARC-HOU-020,,
P-0650,common_noble,false,0.38,0.43,0.62,0.43,0.65,0.41,0.51,0.46,uninstantiated,,황탑 기숙사,1학년,황,관성조율학파,마법사,,,
P-0651,common_noble,false,0.74,0.53,0.61,0.30,0.63,0.75,0.49,0.50,uninstantiated,,적탑 기숙사,4학년,적,화염포격학파,마법사,,,
P-0652,common_noble,false,0.30,0.58,0.38,0.46,0.75,0.36,0.25,0.41,uninstantiated,,자탑 기숙사,2학년,자,전심학파,마법사,,,
P-0653,nonhuman,false,0.62,0.75,0.50,0.56,0.44,0.49,0.64,0.69,uninstantiated,,적탑 기숙사,4학년,적,연기전술학파,마법사,,비스트킨,
P-0654,common_noble,false,0.70,0.48,0.50,0.39,0.44,0.22,0.28,0.17,uninstantiated,,자탑 기숙사,3학년,자,전심학파,마법사,,,
P-0655,signature_noble,true,0.38,0.49,0.63,0.40,0.47,0.51,0.27,0.36,uninstantiated,,비전관,1학년,청,중장돌격과,기사,ORG-ARC-HOU-019,,
P-0656,common_noble,false,0.50,0.33,0.48,0.05,0.33,0.61,0.50,0.27,uninstantiated,,기사동,2학년,백,병참·군정과,기사,,,
P-0657,nonhuman,false,0.55,0.66,0.57,0.75,0.64,0.11,0.27,0.42,uninstantiated,,청탑 기숙사,2학년,청,방벽수호학파,마법사,,아쿠아틱,
P-0658,common_noble,false,0.61,0.52,0.31,0.18,0.71,0.52,0.57,0.24,uninstantiated,,백탑 기숙사,2학년,백,순백응급학파,마법사,,,
P-0659,common_noble,false,0.86,0.52,0.21,0.39,0.50,0.51,0.78,0.27,uninstantiated,,백탑 기숙사,2학년,백,순백응급학파,마법사,,,
P-0660,commoner,false,0.70,0.55,0.50,0.66,0.52,0.22,0.50,0.56,uninstantiated,,신전동군,2학년,자,Lusenia 신전과,사제,,,
P-0661,common_noble,false,0.43,0.39,0.59,0.83,0.01,0.01,0.50,0.40,uninstantiated,,황탑 기숙사,1학년,황,공성진동학파,마법사,,,
P-0662,common_noble,false,0.55,0.63,0.32,0.64,0.53,0.23,0.63,0.16,uninstantiated,,황탑 기숙사,4학년,황,공성진동학파,마법사,,,
P-0663,commoner,false,0.41,0.78,0.62,0.77,0.41,0.02,0.45,0.29,uninstantiated,,황탑 기숙사,2학년,황,관성조율학파,마법사,,,
P-0664,commoner,false,0.89,0.75,0.67,0.53,0.67,0.26,0.79,0.40,uninstantiated,,황탑 기숙사,1학년,황,전자유도학파,마법사,,,
P-0665,common_noble,false,0.55,0.51,0.61,0.48,0.58,0.38,0.36,0.24,uninstantiated,,황탑 기숙사,3학년,황,관성조율학파,마법사,,,
P-0666,commoner,false,0.77,0.72,0.40,0.55,0.55,0.01,0.55,0.34,uninstantiated,,자탑 기숙사,1학년,자,심상환영학파,마법사,,,
P-0667,common_noble,false,0.68,0.30,0.51,0.62,0.72,0.16,0.32,0.38,uninstantiated,,신전동군,3학년,황,Valerion 신전과,사제,,,
P-0668,foreigner,false,0.69,0.62,0.29,0.53,0.57,0.35,0.58,0.18,uninstantiated,,신전동군,4학년,적,Vesperian 신전과,사제,,,ARC-인접왕국권
P-0669,common_noble,false,0.67,0.79,0.52,0.53,0.45,0.16,0.76,0.52,uninstantiated,,적탑 기숙사,1학년,적,화염포격학파,마법사,,,
P-0670,commoner,false,0.61,0.52,0.59,0.34,0.56,0.06,0.45,0.39,uninstantiated,,녹탑 기숙사,연구과정,녹,약리전술학파,마법사,,,
P-0671,signature_noble,true,0.49,0.82,0.33,0.59,0.48,0.31,0.36,0.44,uninstantiated,,비전관,2학년,녹,약리전술학파,마법사,ORG-ARC-HOU-005,,
P-0672,common_noble,false,0.57,0.88,0.38,0.87,0.58,0.12,0.44,0.29,uninstantiated,,청탑 기숙사,3학년,청,방벽수호학파,마법사,,,
P-0673,common_noble,false,0.76,0.70,0.61,0.54,0.73,0.23,0.64,0.40,uninstantiated,,신전동군,3학년,녹,Enosian 신전과,사제,,,
P-0674,commoner,false,0.72,0.47,0.68,0.66,0.69,0.16,0.75,0.39,uninstantiated,,적탑 기숙사,3학년,적,화염포격학파,마법사,,,
P-0675,common_noble,false,0.51,0.55,0.58,0.47,0.68,0.53,0.47,0.37,uninstantiated,,청탑 기숙사,2학년,청,방벽수호학파,마법사,,,
P-0676,nonhuman,false,0.52,0.51,0.54,0.75,0.52,0.31,0.40,0.52,uninstantiated,,백탑 기숙사,연구과정,백,순백응급학파,마법사,,오크,
P-0677,common_noble,false,0.55,0.40,0.56,0.56,0.60,0.75,0.51,0.35,uninstantiated,,적탑 기숙사,2학년,적,연기전술학파,마법사,,,
P-0678,common_noble,false,0.70,0.63,0.64,0.63,0.28,0.29,0.58,0.59,uninstantiated,,기사동,1학년,자,병참·군정과,기사,,,
P-0679,common_noble,false,0.64,0.48,0.45,0.38,0.44,0.44,0.44,0.27,uninstantiated,,적탑 기숙사,3학년,적,화염포격학파,마법사,,,
P-0680,foreigner,false,0.86,0.49,0.74,0.62,0.36,0.28,0.51,0.69,uninstantiated,,기사동,2학년,황,지휘참모과,기사,,,ARC-인접왕국권
P-0681,common_noble,false,0.48,0.73,0.34,0.92,0.67,0.24,0.66,0.21,uninstantiated,,황탑 기숙사,1학년,황,공성진동학파,마법사,,,
P-0682,common_noble,false,0.70,0.62,0.28,0.46,0.61,0.41,0.20,0.40,uninstantiated,,녹탑 기숙사,3학년,녹,약리전술학파,마법사,,,
P-0683,common_noble,false,0.42,0.64,0.26,0.64,0.29,0.36,0.56,0.32,uninstantiated,,녹탑 기숙사,3학년,녹,정령계약학파,마법사,,,
P-0684,nonhuman,false,0.90,0.65,0.58,0.50,0.06,0.13,0.68,0.77,uninstantiated,,청탑 기숙사,1학년,청,구속연쇄학파,마법사,,하플링,
P-0685,common_noble,false,0.57,0.43,0.33,0.68,0.62,0.23,0.37,0.16,uninstantiated,,녹탑 기숙사,3학년,녹,정령계약학파,마법사,,,
P-0686,common_noble,false,0.60,0.18,0.70,0.78,0.76,0.35,0.57,0.28,uninstantiated,,기사동,3학년,황,검창전술과,기사,,,
P-0687,common_noble,false,0.76,0.20,0.29,0.46,0.41,0.51,0.37,0.29,uninstantiated,,청탑 기숙사,1학년,청,구속연쇄학파,마법사,,,
